Type,10,10Mean,10Avg,10L1,20,20Mean,20Avg,20L1,250,250Mean,250Avg,250L1,350,350Mean,350Avg,350L1,450,450Mean,450Avg,450L1,570,570Mean,570Avg,570L1,700,700Mean,700Avg,700L1,840,840Mean,840Avg,840L1,1000,1000Mean,1000Avg,1000L1,1170,1170Mean,1170Avg,1170L1,1370,1370Mean,1370Avg,1370L1,1600,1600Mean,1600Avg,1600L1,1850,1850Mean,1850Avg,1850L1,2000,2000Mean,2000Avg,2000L1,2150,2150Mean,2150Avg,2150L1,2500,2500Mean,2500Avg,2500L1,2900,2900Mean,2900Avg,2900L1,3000,3000Mean,3000Avg,3000L1,3400,3400Mean,3400Avg,3400L1,4000,4000Mean,4000Avg,4000L1,4800,4800Mean,4800Avg,4800L1,5000,5000Mean,5000Avg,5000L1,5800,5800Mean,5800Avg,5800L1,6000,6000Mean,6000Avg,6000L1,7000,7000Mean,7000Avg,7000L1,8000,8000Mean,8000Avg,8000L1,8500,8500Mean,8500Avg,8500L1,9000,9000Mean,9000Avg,9000L1,10000,10000Mean,10000Avg,10000L1,10500,10500Mean,10500Avg,10500L1,11000,11000Mean,11000Avg,11000L1,12000,12000Mean,12000Avg,12000L1,13000,13000Mean,13000Avg,13000L1,13500,13500Mean,13500Avg,13500L1,14000,14000Mean,14000Avg,14000L1,15000,15000Mean,15000Avg,15000L1,16000,16000Mean,16000Avg,16000L1,17000,17000Mean,17000Avg,17000L1,18000,18000Mean,18000Avg,18000L1,19000,19000Mean,19000Avg,19000L1,20000,20000Mean,20000Avg,20000L1
0,0,0,0,0,0,0,0,0,0.6909653,1.4864048E-07,1.4864048E-07,0.0006088314,0.6281947,7.810646E-05,7.810646E-05,0.31992406,0.6017554,7.699505E-05,7.699505E-05,0.31537172,0.5812177,8.0856764E-05,8.0856764E-05,0.3311893,0.5812709,8.769698E-05,8.769698E-05,0.35920683,0.6001036,9.382721E-05,9.382721E-05,0.38431627,0.60832757,9.59711E-05,9.59711E-05,0.39309764,0.5957374,9.300747E-05,9.300747E-05,0.3809586,0.5586669,8.653362E-05,8.653362E-05,0.3544417,0.5038459,7.994376E-05,7.994376E-05,0.32744965,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0.7409532,2.3790011E-07,2.3790011E-07,0.00097443885,0.70315194,7.808731E-05,7.808731E-05,0.31984562,0.6592895,7.697243E-05,7.697243E-05,0.31527907,0.60200197,8.082235E-05,8.082235E-05,0.33104834,0.61277336,8.760408E-05,8.760408E-05,0.3588263,0.6378696,9.376381E-05,9.376381E-05,0.38405657,0.6566857,9.594556E-05,9.594556E-05,0.392993,0.66265935,9.300254E-05,9.300254E-05,0.3809384,0.64757276,8.6533015E-05,8.6533015E-05,0.35443923,0.60926735,7.9945174E-05,7.9945174E-05,0.32745543,0.56495214,7.715573E-09,7.715573E-09,3.1602987E-05,0.5357007,2.6105444E-09,2.6105444E-09,1.069279E-05,0.50700593,4.1896206E-10,4.1896206E-10,1.7160686E-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0.70635384,7.4720985E-05,7.4720985E-05,0.30605716,0.65274185,0.000120168916,0.000120168916,0.49221188,0.6178769,7.69777E-05,7.69777E-05,0.31530067,0.55995953,8.084844E-05,8.084844E-05,0.3311552,0.5814807,8.758679E-05,8.758679E-05,0.3587555,0.6097382,9.375483E-05,9.375483E-05,0.3840198,0.63120186,9.593959E-05,9.593959E-05,0.39296857,0.6339144,9.2999246E-05,9.2999246E-05,0.3809249,0.6123289,8.653048E-05,8.653048E-05,0.35442886,0.5678822,7.994328E-05,7.994328E-05,0.32744768,0.51398575,1.7304602E-08,1.7304602E-08,7.087965E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0.677233,7.5513926E-05,7.5513926E-05,0.30930504,0.59061986,0.00011570983,0.00011570983,0.47394747,0.55885184,7.8691395E-05,7.8691395E-05,0.32231995,0.5469,8.349304E-05,8.349304E-05,0.3419875,0.56453776,9.059425E-05,9.059425E-05,0.37107405,0.5836795,9.834185E-05,9.834185E-05,0.40280822,0.59220725,9.828017E-05,9.828017E-05,0.40255558,0.5788607,9.4783834E-05,9.4783834E-05,0.3882346,0.5417085,8.740704E-05,8.740704E-05,0.35801923,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0.6977938,7.5515774E-05,7.5515774E-05,0.3093126,0.62221485,0.00011572264,0.00011572264,0.47399995,0.58835036,7.868093E-05,7.868093E-05,0.3222771,0.56028265,8.366469E-05,8.366469E-05,0.34269056,0.58293736,9.094096E-05,9.094096E-05,0.37249416,0.6090879,9.862339E-05,9.862339E-05,0.40396142,0.6273976,9.845859E-05,9.845859E-05,0.4032864,0.62408435,9.486788E-05,9.486788E-05,0.38857883,0.5969894,8.7431225E-05,8.7431225E-05,0.3581183,0.5497799,7.9943275E-05,7.9943275E-05,0.32744765,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0.7066672,7.5510616E-05,7.5510616E-05,0.30929148,0.65186554,0.00011581412,0.00011581412,0.47437462,0.6163059,7.868528E-05,7.868528E-05,0.32229492,0.5730865,8.366547E-05,8.366547E-05,0.34269378,0.58887583,9.1612594E-05,9.1612594E-05,0.37524518,0.6175794,9.972915E-05,9.972915E-05,0.4084906,0.63781774,9.933239E-05,9.933239E-05,0.40686548,0.63912135,9.533015E-05,9.533015E-05,0.3904723,0.61596984,8.8128196E-05,8.8128196E-05,0.3609731,0.5678868,8.075154E-05,8.075154E-05,0.3307583,0.50929546,1.9257255E-05,1.9257255E-05,0.07887772,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0.7217732,9.928754E-05,9.928754E-05,0.40668178,0.6692694,0.00015557441,0.00015557441,0.6372328,0.62969935,0.000137734,0.000137734,0.56415844,0.5710269,0.00015033732,0.00015033732,0.61578166,0.5943419,0.00015917813,0.00015917813,0.65199363,0.625213,0.00016566894,0.00016566894,0.67858,0.64914846,0.00016167038,0.00016167038,0.6622019,0.65753,0.00015533461,0.00015533461,0.63625056,0.64261216,0.00014178672,0.00014178672,0.5807584,0.6033648,0.00012488995,0.00012488995,0.51154923,0.55361176,9.1793554E-05,9.1793554E-05,0.3759864,0.52147126,8.465949E-05,8.465949E-05,0.34676528,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0.7129797,9.927946E-05,9.927946E-05,0.40664867,0.65121764,0.0001555523,0.0001555523,0.63714224,0.6174016,0.00013770832,0.00013770832,0.5640533,0.60017455,0.00015030625,0.00015030625,0.6156544,0.6009442,0.00017134224,0.00017134224,0.7018178,0.6288518,0.00018024803,0.00018024803,0.7382959,0.6500417,0.00017599092,0.00017599092,0.7208588,0.6521902,0.00017128594,0.00017128594,0.7015872,0.6318469,0.00015480413,0.00015480413,0.6340777,0.5900488,0.00014176335,0.00014176335,0.58066267,0.53827983,0.00010626727,0.00010626727,0.43527073,0.5084641,0.00010387837,0.00010387837,0.4254858,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0.68000346,9.927392E-05,9.927392E-05,0.406626,0.5967028,0.00015554212,0.00015554212,0.6371005,0.55976456,0.00013771086,0.00013771086,0.56406367,0.5359249,0.00018608513,0.00018608513,0.7622047,0.55181956,0.00018806606,0.00018806606,0.77031857,0.5689428,0.00019132001,0.00019132001,0.78364676,0.5720563,0.0001790056,0.0001790056,0.7332069,0.55597496,0.00017120977,0.00017120977,0.7012752,0.514065,0.0001534025,0.0001534025,0.62833667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0.6825978,0.000100251396,0.000100251396,0.41062972,0.6170695,0.0001562807,0.0001562807,0.64012575,0.589036,0.0001410995,0.0001410995,0.57794356,0.5662281,0.00019299533,0.00019299533,0.79050887,0.56141776,0.0001958079,0.0001958079,0.80202913,0.57962495,0.000197916,0.000197916,0.81066394,0.5840627,0.0001893583,0.0001893583,0.7756116,0.56812274,0.00017490164,0.00017490164,0.7163971,0.5284524,0.00016777121,0.00016777121,0.6871909,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
