Type,10,10Mean,10Avg,10L1,20,20Mean,20Avg,20L1,250,250Mean,250Avg,250L1,350,350Mean,350Avg,350L1,450,450Mean,450Avg,450L1,570,570Mean,570Avg,570L1,700,700Mean,700Avg,700L1,840,840Mean,840Avg,840L1,1000,1000Mean,1000Avg,1000L1,1170,1170Mean,1170Avg,1170L1,1370,1370Mean,1370Avg,1370L1,1600,1600Mean,1600Avg,1600L1,1850,1850Mean,1850Avg,1850L1,2000,2000Mean,2000Avg,2000L1,2150,2150Mean,2150Avg,2150L1,2500,2500Mean,2500Avg,2500L1,2900,2900Mean,2900Avg,2900L1,3000,3000Mean,3000Avg,3000L1,3400,3400Mean,3400Avg,3400L1,4000,4000Mean,4000Avg,4000L1,4800,4800Mean,4800Avg,4800L1,5000,5000Mean,5000Avg,5000L1,5800,5800Mean,5800Avg,5800L1,6000,6000Mean,6000Avg,6000L1,7000,7000Mean,7000Avg,7000L1,8000,8000Mean,8000Avg,8000L1,8500,8500Mean,8500Avg,8500L1,9000,9000Mean,9000Avg,9000L1,10000,10000Mean,10000Avg,10000L1,10500,10500Mean,10500Avg,10500L1,11000,11000Mean,11000Avg,11000L1,12000,12000Mean,12000Avg,12000L1,13000,13000Mean,13000Avg,13000L1,13500,13500Mean,13500Avg,13500L1,14000,14000Mean,14000Avg,14000L1,15000,15000Mean,15000Avg,15000L1,16000,16000Mean,16000Avg,16000L1,17000,17000Mean,17000Avg,17000L1,18000,18000Mean,18000Avg,18000L1,19000,19000Mean,19000Avg,19000L1,20000,20000Mean,20000Avg,20000L1
0,0,0,0,0,0,0,0,0,0.7052794,0.00010025401,0.00010025401,0.41064042,0.6455004,0.00017152324,0.00017152324,0.7025592,0.62229276,0.00015311239,0.00015311239,0.62714833,0.60611653,0.00020521267,0.00020521267,0.8405511,0.59333104,0.00021505458,0.00021505458,0.88086355,0.610921,0.00021802467,0.00021802467,0.89302903,0.623031,0.00021371446,0.00021371446,0.87537444,0.61375684,0.00019697778,0.00019697778,0.806821,0.583258,0.000191667,0.000191667,0.78506804,0.5334355,0.00016133673,0.00016133673,0.66083527,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0.5550345,0.0009386158,0.0009386158,3.8445704,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0.76958454,0.00050523045,0.00050523045,2.069424,0.7396959,0.00034740558,0.00034740558,1.4229733,0.7306069,0.0002560289,0.0002560289,1.0486944,0.7229086,0.00020455991,0.00020455991,0.8378774,0.7236711,0.000200016,0.000200016,0.81926554,0.72476065,0.0002022277,0.0002022277,0.8283247,0.724138,0.00018403598,0.00018403598,0.75381136,0.71820796,0.00016080373,0.00016080373,0.65865207,0.7059233,0.00012955315,0.00012955315,0.5306497,0.6860944,0.00014399925,0.00014399925,0.5898209,0.6545417,0.00014636514,0.00014636514,0.5995116,0.6403437,0.00015236213,0.00015236213,0.6240753,0.6234187,0.00013667562,0.00013667562,0.55982333,0.57770777,0.00013932172,0.00013932172,0.5706618,0.54345006,5.241854e-05,5.241854e-05,0.21470635,0.53425413,5.1569124e-05,5.1569124e-05,0.21122713,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0.72180146,0.00069096114,0.00069096114,2.8301768,0.6721933,0.00050289097,0.00050289097,2.0598414,0.63780636,0.00046086026,0.00046086026,1.8876836,0.60957915,0.00043172602,0.00043172602,1.7683498,0.6131598,0.0003832954,0.0003832954,1.569978,0.604696,0.00031015644,0.00031015644,1.2704008,0.5732401,0.0002935658,0.0002935658,1.2024455,0.5235138,0.00022740077,0.00022740077,0.93143356,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0.69474673,0.0008138435,0.0008138435,3.333503,0.64391536,0.0005278271,0.0005278271,2.16198,0.6654809,0.00046722597,0.00046722597,1.9137576,0.6529794,0.00043172346,0.00043172346,1.7683393,0.6294253,0.00040282082,0.00040282082,1.6499541,0.610201,0.00038483558,0.00038483558,1.5762866,0.6054056,0.0003266713,0.0003266713,1.3380456,0.6249727,0.00031204885,0.00031204885,1.2781521,0.62822926,0.00026956428,0.00026956428,1.1041353,0.61306006,0.0002674363,0.0002674363,1.095419,0.59199,0.00031366615,0.00031366615,1.2847766,0.57195824,0.00026399462,0.00026399462,1.081322,0.55006576,0.00025233033,0.00025233033,1.033545,0.51224875,0.00025638478,0.00025638478,1.0501521,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0.76331776,0.00075510243,0.00075510243,3.0928996,0.7646557,0.0006330755,0.0006330755,2.5930772,0.7335532,0.00052276446,0.00052276446,2.1412432,0.714222,0.00046418174,0.00046418174,1.9012884,0.69524676,0.000444579,0.000444579,1.8209956,0.680026,0.00045813262,0.00045813262,1.8765112,0.662685,0.0005087335,0.0005087335,2.0837724,0.6396017,0.00051372487,0.00051372487,2.104217,0.60540426,0.0005110141,0.0005110141,2.0931137,0.56280506,0.00050310325,0.00050310325,2.060711,0.5192189,0.00045765282,0.00045765282,1.8745459,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0.73101723,0.00049194955,0.00049194955,2.0150254,0.6803804,0.00034324083,0.00034324083,1.4059144,0.69710714,0.0002555564,0.0002555564,1.046759,0.6918099,0.00020128996,0.00020128996,0.8244837,0.6756002,0.00019909347,0.00019909347,0.81548685,0.6460588,0.00020019362,0.00020019362,0.8199931,0.6217655,0.00018551326,0.00018551326,0.7598623,0.6041636,0.00015577253,0.00015577253,0.6380443,0.5766814,0.00012351325,0.00012351325,0.5059103,0.5573268,0.00014374862,0.00014374862,0.58879435,0.52613044,0.0001459874,0.0001459874,0.5979644,0.5112503,0.00015236087,0.00015236087,0.6240701,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.53486556,0.0007623974,0.0007623974,3.1227798,0.58319753,0.00088531914,0.00088531914,3.6262672,0.60709083,0.0009518051,0.0009518051,3.8985937,0.6623244,0.0010248504,0.0010248504,4.1977873,0.68120444,0.0009708397,0.0009708397,3.9765594,0.68362635,0.0008800801,0.0008800801,3.604808,0.67678374,0.0008134926,0.0008134926,3.3320656,0.66505766,0.00072716165,0.00072716165,2.978454,0.65289575,0.00068538083,0.00068538083,2.8073199,0.6328883,0.0006181721,0.0006181721,2.532033,0.58078235,0.00051347533,0.00051347533,2.103195,0.5290326,0.00042202004,0.00042202004,1.7285941,0.5190892,0.00041059856,0.00041059856,1.6818117,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0.6305233,0.00063005893,0.00063005893,2.5807214,0.6715829,0.0004800043,0.0004800043,1.9660976,0.6689287,0.0003679642,0.0003679642,1.5071814,0.6389865,0.00032593933,0.00032593933,1.3350475,0.5992034,0.00032565955,0.00032565955,1.3339015,0.5594748,0.00032221788,0.00032221788,1.3198044,0.5166789,0.00034771377,0.00034771377,1.4242356,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.51109093,0.00039367305,0.00039367305,1.6124848,0.5550252,0.00062326354,0.00062326354,2.5528874,0.5852239,0.0007910954,0.0007910954,3.2403266,0.60356396,0.0008787813,0.0008787813,3.5994883,0.6076626,0.00082621025,0.00082621025,3.3841572,0.59299403,0.0007637137,0.0007637137,3.1281712,0.5636656,0.00062752503,0.00062752503,2.5703425,0.52805775,0.00062067684,0.00062067684,2.5422924,0.5102388,0.000628415,0.000628415,2.5739877,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
