Type,10,10Mean,10Avg,10L1,20,20Mean,20Avg,20L1,250,250Mean,250Avg,250L1,350,350Mean,350Avg,350L1,450,450Mean,450Avg,450L1,570,570Mean,570Avg,570L1,700,700Mean,700Avg,700L1,840,840Mean,840Avg,840L1,1000,1000Mean,1000Avg,1000L1,1170,1170Mean,1170Avg,1170L1,1370,1370Mean,1370Avg,1370L1,1600,1600Mean,1600Avg,1600L1,1850,1850Mean,1850Avg,1850L1,2000,2000Mean,2000Avg,2000L1,2150,2150Mean,2150Avg,2150L1,2500,2500Mean,2500Avg,2500L1,2900,2900Mean,2900Avg,2900L1,3000,3000Mean,3000Avg,3000L1,3400,3400Mean,3400Avg,3400L1,4000,4000Mean,4000Avg,4000L1,4800,4800Mean,4800Avg,4800L1,5000,5000Mean,5000Avg,5000L1,5800,5800Mean,5800Avg,5800L1,6000,6000Mean,6000Avg,6000L1,7000,7000Mean,7000Avg,7000L1,8000,8000Mean,8000Avg,8000L1,8500,8500Mean,8500Avg,8500L1,9000,9000Mean,9000Avg,9000L1,10000,10000Mean,10000Avg,10000L1,10500,10500Mean,10500Avg,10500L1,11000,11000Mean,11000Avg,11000L1,12000,12000Mean,12000Avg,12000L1,13000,13000Mean,13000Avg,13000L1,13500,13500Mean,13500Avg,13500L1,14000,14000Mean,14000Avg,14000L1,15000,15000Mean,15000Avg,15000L1,16000,16000Mean,16000Avg,16000L1,17000,17000Mean,17000Avg,17000L1,18000,18000Mean,18000Avg,18000L1,19000,19000Mean,19000Avg,19000L1,20000,20000Mean,20000Avg,20000L1
0,0.0,0.0,0.0,0.0,0,0,0,0,0.5940242,0.0009830529,0.0009830529,4.0265846,0.5061171,0.0008421802,0.0008421802,3.4495702,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0,0,0,0,1.2277578,0.0027441648,0.0027441648,11.240099,1.2085453,0.0021602346,0.0021602346,8.848321,1.1873642,0.0020154365,0.0020154365,8.255228,1.1767982,0.0016541823,0.0016541823,6.775531,1.1594391,0.0016704726,0.0016704726,6.8422556,1.1494408,0.0015867223,0.0015867223,6.4992146,1.1424214,0.0016159326,0.0016159326,6.61886,1.1300012,0.0015450341,0.0015450341,6.3284597,1.1296743,0.0014733119,0.0014733119,6.0346856,1.1549195,0.0014683879,0.0014683879,6.014517,1.1350567,0.0013945965,0.0013945965,5.7122674,1.1234418,0.0013450283,0.0013450283,5.509236,1.1069766,0.001277265,0.001277265,5.2316775,1.0481238,0.0012215163,0.0012215163,5.0033307,0.99150133,0.0011693137,0.0011693137,4.789509,0.98106456,0.0011372846,0.0011372846,4.6583176,0.9334592,0.0011239505,0.0011239505,4.603701,0.84909904,0.0010030449,0.0010030449,4.108472,0.7485855,0.0009055894,0.0009055894,3.709294,0.73084897,0.0009030122,0.0009030122,3.6987379,0.6583539,0.00080570846,0.00080570846,3.3001819,0.64038754,0.00077867723,0.00077867723,3.189462,0.5547341,0.00066290516,0.00066290516,2.7152596,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0,0,0,0,1.1228898,0.0026001649,0.0026001649,10.650275,1.1536002,0.0019992217,0.0019992217,8.188812,1.1828967,0.0018183653,0.0018183653,7.4480243,1.1267886,0.0015165797,0.0015165797,6.2119102,1.1003308,0.0015339359,0.0015339359,6.2830014,1.0887698,0.0014766688,0.0014766688,6.048435,1.067602,0.0015294004,0.0015294004,6.264424,1.0259901,0.0014604577,0.0014604577,5.9820347,0.9923971,0.0014018929,0.0014018929,5.742153,0.9457277,0.0013923758,0.0013923758,5.7031713,0.88711727,0.001321437,0.001321437,5.412606,0.84542805,0.0012783451,0.0012783451,5.2361016,0.8078614,0.0012100328,0.0012100328,4.9562945,0.7374571,0.0011580803,0.0011580803,4.743497,0.7043925,0.0011086535,0.0011086535,4.5410447,0.6992493,0.0010798052,0.0010798052,4.422882,0.6707597,0.0010711473,0.0010711473,4.387419,0.6149258,0.0009584904,0.0009584904,3.9259768,0.5439743,0.00085719064,0.00085719064,3.5110528,0.5451367,0.00085631514,0.00085631514,3.5074668,0.52637124,0.00077993656,0.00077993656,3.1946201,0.51715875,0.00075789756,0.00075789756,3.1043484,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.6801247,0.0010096664,0.0010096664,4.1355934,0.7529725,0.0013325738,0.0013325738,5.4582224,0.861282,0.0015741261,0.0015741261,6.4476204,0.92205024,0.0017645486,0.0017645486,7.227591,1.028474,0.0019538344,0.0019538344,8.002906,1.0762335,0.0019853304,0.0019853304,8.131913,1.0716225,0.0019253683,0.0019253683,7.8863087,1.0217513,0.0018651686,0.0018651686,7.6397305,0.9767718,0.0018040558,0.0018040558,7.3894124,0.89706105,0.0017370685,0.0017370685,7.1150327,0.84694695,0.0016004834,0.0016004834,6.55558,0.8358686,0.0014600549,0.0014600549,5.980385,0.78767735,0.0013426505,0.0013426505,5.4994965,0.7471888,0.0011987735,0.0011987735,4.9101763,0.7347595,0.0011568952,0.0011568952,4.7386427,0.6988096,0.0010400111,0.0010400111,4.2598853,0.6522274,0.0008943353,0.0008943353,3.6631973,0.61398,0.00074719195,0.00074719195,3.0604982,0.6039658,0.00072447956,0.00072447956,2.9674683,0.5505392,0.0006157771,0.0006157771,2.522223,0.5349872,0.0006005129,0.0006005129,2.4597008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,0.0,0.0,0.0,0.0,0,0,0,0,1.0697404,0.00032721218,0.00032721218,1.3402611,0.93223435,0.00035070465,0.00035070465,1.4364862,0.78716373,0.00031224138,0.00031224138,1.2789407,0.65024024,0.0002676715,0.0002676715,1.0963825,0.61043125,0.00022258234,0.00022258234,0.91169727,0.5783083,0.00018528082,0.00018528082,0.75891024,0.55033284,0.00017183265,0.00017183265,0.70382655,0.512971,0.00016843237,0.00016843237,0.68989897,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,0.0,0.0,0.0,0.0,0,0,0,0,1.1392944,0.00083899935,0.00083899935,3.4365413,1.0215111,0.00091459585,0.00091459585,3.7461846,0.943583,0.000784652,0.000784652,3.2139347,0.90588164,0.0006421034,0.0006421034,2.6300554,0.84005517,0.0005237446,0.0005237446,2.145258,0.79010403,0.00046010816,0.00046010816,1.884603,0.7456045,0.00041309366,0.00041309366,1.6920316,0.6965261,0.0003703353,0.0003703353,1.5168934,0.6364987,0.00030795668,0.00030795668,1.2613906,0.56956625,0.000201679,0.000201679,0.82607716,0.50233203,0.00011016117,0.00011016117,0.45122015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6157207,0.0010485982,0.0010485982,4.2950583,0.7163523,0.0012136012,0.0012136012,4.9709105,0.80066776,0.0013026323,0.0013026323,5.335582,0.8509114,0.0014020344,0.0014020344,5.742733,0.90010744,0.0013675339,0.0013675339,5.601419,0.9067169,0.0013305729,0.0013305729,5.4500265,0.9158714,0.0013777858,0.0013777858,5.6434107,0.91959924,0.0012118212,0.0012118212,4.9636197,0.8987631,0.0011224143,0.0011224143,4.597409,0.88563365,0.0010548884,0.0010548884,4.3208227,0.87144834,0.0010020013,0.0010020013,4.1041975,0.817833,0.00095554075,0.00095554075,3.913895,0.7580693,0.00086392666,0.00086392666,3.5386436,0.7443205,0.0008336326,0.0008336326,3.4145591,0.6851286,0.00078207284,0.00078207284,3.2033703,0.64040434,0.00062644406,0.00062644406,2.5659149,0.58312637,0.0005317989,0.0005317989,2.1782484,0.5757022,0.0005221733,0.0005221733,2.1388218,0.5379938,0.00043614415,0.00043614415,1.7864465,0.5271091,0.0004134936,0.0004134936,1.6936698,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,0.0,0.0,0.0,0.0,0,0,0,0,0.9419614,0.0008395696,0.0008395696,3.438877,0.77373606,0.00091528747,0.00091528747,3.7490175,0.6381765,0.0007907132,0.0007907132,3.2387612,0.62117594,0.00064360915,0.00064360915,2.636223,0.5852872,0.00053157675,0.00053157675,2.1773384,0.52965724,0.00046689078,0.00046689078,1.9123846,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0,0,0,0,1.1162202,0.0017551912,0.0017551912,7.1892633,0.97124815,0.0015090783,0.0015090783,6.181185,1.05191,0.0012447739,0.0012447739,5.0985937,0.78578854,0.001097364,0.001097364,4.494803,0.9007368,0.0010079634,0.0010079634,4.1286182,0.6429776,0.0008965948,0.0008965948,3.6724522,0.79968727,0.00085064874,0.00085064874,3.4842572,0.54262555,0.00080203847,0.00080203847,3.2851496,0.6844174,0.0007906163,0.0007906163,3.2383645,0.0,0.0,0.0,0.0,0.60698485,0.0006868506,0.0006868506,2.81334,0.0,0.0,0.0,0.0,0.59972495,0.00062821264,0.00062821264,2.573159,0.0,0.0,0.0,0.0,0.60185426,0.00045770634,0.00045770634,1.8747652,0.0,0.0,0.0,0.0,0.584879,0.00033778953,0.00033778953,1.3835859,0.0,0.0,0.0,0.0,0.52728033,0.00017083422,0.00017083422,0.69973695,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0,0,0,0,1.2165626,0.00212951,0.00212951,8.722473,1.1854296,0.001727944,0.001727944,7.0776587,1.1629966,0.0015102408,0.0015102408,6.1859465,1.1574252,0.0014026394,0.0014026394,5.745211,1.1535373,0.0014297896,0.0014297896,5.856418,1.1558201,0.0013836676,0.0013836676,5.6675024,1.1612262,0.0013605972,0.0013605972,5.573006,1.1567236,0.0013629384,0.0013629384,5.582596,1.1416212,0.0013695728,0.0013695728,5.6097703,1.113803,0.0012185052,0.0012185052,4.9909973,1.0660163,0.001168278,0.001168278,4.785267,1.0450891,0.001141146,0.001141146,4.674134,1.0199744,0.0010856196,0.0010856196,4.4466977,0.946617,0.0010581206,0.0010581206,4.334062,0.87537986,0.000964933,0.000964933,3.9523656,0.8593394,0.00096716837,0.00096716837,3.9615216,0.7939111,0.0009057413,0.0009057413,3.7099164,0.69932824,0.0007470638,0.0007470638,3.0599732,0.6091003,0.0005851697,0.0005851697,2.396855,0.59097433,0.0005577932,0.0005577932,2.284721,0.5237639,0.00044747448,0.00044747448,1.8328555,0.508122,0.00041452365,0.00041452365,1.6978889,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
