Type,50,50Avg,50L1Norm,50Mean,150,150Avg,150L1Norm,150Mean,250,250Avg,250L1Norm,250Mean,350,350Avg,350L1Norm,350Mean,450,450Avg,450L1Norm,450Mean,570,570Avg,570L1Norm,570Mean,700,700Avg,700L1Norm,700Mean,840,840Avg,840L1Norm,840Mean,1000,1000Avg,1000L1Norm,1000Mean,1170,1170Avg,1170L1Norm,1170Mean,1370,1370Avg,1370L1Norm,1370Mean,1600,1600Avg,1600L1Norm,1600Mean,1850,1850Avg,1850L1Norm,1850Mean,2000,2000Avg,2000L1Norm,2000Mean,2150,2150Avg,2150L1Norm,2150Mean,2500,2500Avg,2500L1Norm,2500Mean,2900,2900Avg,2900L1Norm,2900Mean,3000,3000Avg,3000L1Norm,3000Mean,3400,3400Avg,3400L1Norm,3400Mean,4000,4000Avg,4000L1Norm,4000Mean,4800,4800Avg,4800L1Norm,4800Mean,5000,5000Avg,5000L1Norm,5000Mean,5800,5800Avg,5800L1Norm,5800Mean,6000,6000Avg,6000L1Norm,6000Mean,7000,7000Avg,7000L1Norm,7000Mean,8000,8000Avg,8000L1Norm,8000Mean,8500,8500Avg,8500L1Norm,8500Mean,9000,9000Avg,9000L1Norm,9000Mean,10000,10000Avg,10000L1Norm,10000Mean,10500,10500Avg,10500L1Norm,10500Mean,11000,11000Avg,11000L1Norm,11000Mean,12000,12000Avg,12000L1Norm,12000Mean,13000,13000Avg,13000L1Norm,13000Mean,13500,13500Avg,13500L1Norm,13500Mean,14000,14000Avg,14000L1Norm,14000Mean,15000,15000Avg,15000L1Norm,15000Mean,16000,16000Avg,16000L1Norm,16000Mean,17000,17000Avg,17000L1Norm,17000Mean,18000,18000Avg,18000L1Norm,18000Mean,19000,19000Avg,19000L1Norm,19000Mean,20000,20000Avg,20000L1Norm,20000Mean
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5670807,1.1280796E-05,0.04620614,1.1280796E-05,0.6671119,1.1375697E-05,0.046594854,1.1375697E-05,0.76122326,1.00334455E-05,0.041096993,1.00334455E-05,0.8506489,9.780366E-06,0.04006038,9.780366E-06,0.90474313,1.4349397E-05,0.05877513,1.4349397E-05,0.9680446,2.3607327E-05,0.09669561,2.3607327E-05,1.0606251,3.3065833E-05,0.13543765,3.3065833E-05,1.0772337,3.7583082E-05,0.1539403,3.7583082E-05,1.1096016,4.1075426E-05,0.16824494,4.1075426E-05,1.1635538,4.564692E-05,0.18696979,4.564692E-05,1.1828858,4.659917E-05,0.1908702,4.659917E-05,1.1861237,4.640233E-05,0.19006394,4.640233E-05,1.1693912,4.469534E-05,0.18307212,4.469534E-05,1.0971696,4.1073567E-05,0.16823733,4.1073567E-05,1.0862921,3.6520447E-05,0.14958775,3.6520447E-05,1.094218,3.5519908E-05,0.14548954,3.5519908E-05,1.089351,3.207904E-05,0.13139574,3.207904E-05,1.081617,3.134281E-05,0.12838015,3.134281E-05,1.0218419,2.8202458E-05,0.115517266,2.8202458E-05,0.94384545,2.560794E-05,0.10489012,2.560794E-05,0.9010759,2.4392406E-05,0.099911295,2.4392406E-05,0.8558957,2.3193275E-05,0.094999656,2.3193275E-05,0.7568854,2.0814257E-05,0.0852552,2.0814257E-05,0.7112787,1.9642936E-05,0.080457464,1.9642936E-05,0.7160438,1.8499424E-05,0.07577364,1.8499424E-05,0.7184811,1.6321572E-05,0.06685316,1.6321572E-05,0.7065499,1.4294229E-05,0.058549162,1.4294229E-05,0.6944322,1.3331237E-05,0.054604746,1.3331237E-05,0.678531,1.2395184E-05,0.050770674,1.2395184E-05,0.6383633,1.0236212E-05,0.041927524,1.0236212E-05,0.59373045,8.605857E-06,0.03524959,8.605857E-06,0.55072397,7.2605203E-06,0.029739091,7.2605203E-06,0.5065015,5.8050373E-06,0.023777433,5.8050373E-06,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.53191316,9.745506E-06,0.039917592,9.745506E-06,0.6033707,1.1182275E-05,0.045802597,1.1182275E-05,0.65368885,1.1334906E-05,0.046427775,1.1334906E-05,0.68024296,1.0005197E-05,0.040981285,1.0005197E-05,0.72178566,9.690959E-06,0.039694168,9.690959E-06,0.8005492,1.4290026E-05,0.058531947,1.4290026E-05,0.8362608,2.351331E-05,0.09631052,2.351331E-05,0.84481496,3.2867898E-05,0.13462691,3.2867898E-05,0.878671,3.732521E-05,0.15288407,3.732521E-05,0.89791036,4.0775794E-05,0.16701765,4.0775794E-05,0.88086283,4.534405E-05,0.18572924,4.534405E-05,0.957737,4.642544E-05,0.1901586,4.642544E-05,0.9874421,4.6274054E-05,0.18953852,4.6274054E-05,1.0810822,4.4765875E-05,0.18336102,4.4765875E-05,1.1665752,4.1381674E-05,0.16949934,4.1381674E-05,1.2233443,3.693638E-05,0.15129142,3.693638E-05,1.2317245,3.5947218E-05,0.1472398,3.5947218E-05,1.2506045,3.2488253E-05,0.13307188,3.2488253E-05,1.2521213,3.173353E-05,0.12998053,3.173353E-05,1.2401379,2.8435401E-05,0.1164714,2.8435401E-05,1.1916897,2.5629712E-05,0.1049793,2.5629712E-05,1.1528567,2.431886E-05,0.09961005,2.431886E-05,1.104604,2.3041355E-05,0.09437739,2.3041355E-05,0.98343855,2.0556075E-05,0.084197685,2.0556075E-05,0.9331491,1.935036E-05,0.079259075,1.935036E-05,0.9935643,1.8178587E-05,0.07445949,1.8178587E-05,1.0868937,1.5963673E-05,0.065387204,1.5963673E-05,1.1417823,1.3922705E-05,0.0570274,1.3922705E-05,1.1480219,1.2962049E-05,0.053092554,1.2962049E-05,1.1407757,1.2035063E-05,0.04929562,1.2035063E-05,1.0889456,1.023975E-05,0.041942015,1.023975E-05,0.9945971,8.298611E-06,0.03399111,8.298611E-06,0.86615825,6.956598E-06,0.028494226,6.956598E-06,0.70912296,5.5513533E-06,0.022738343,5.5513533E-06,0.5878032,4.212038E-06,0.017252509,4.212038E-06,0.5005672,2.7020287E-06,0.01106751,2.7020287E-06
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.545123,7.2026055E-06,0.029501872,7.2026055E-06,0.59581447,7.004589E-06,0.028690796,7.004589E-06,0.67283887,6.1154738E-06,0.02504898,6.1154738E-06,0.7518837,5.868165E-06,0.024036003,5.868165E-06,0.8462371,7.636829E-06,0.03128045,7.636829E-06,0.8865807,9.9321405E-06,0.040682048,9.9321405E-06,0.8812747,1.1048753E-05,0.04525569,1.1048753E-05,0.8653479,1.1917562E-05,0.048814334,1.1917562E-05,0.89912736,1.3036925E-05,0.053399246,1.3036925E-05,0.9554704,1.311644E-05,0.053724937,1.311644E-05,0.95825654,1.300721E-05,0.053277534,1.300721E-05,0.94006854,1.2308761E-05,0.050416686,1.2308761E-05,0.9300744,1.0994702E-05,0.0450343,1.0994702E-05,0.90864706,9.464938E-06,0.038768385,9.464938E-06,0.9002807,9.165032E-06,0.03753997,9.165032E-06,0.86338717,8.3269815E-06,0.034107316,8.3269815E-06,0.85391265,8.200024E-06,0.0335873,8.200024E-06,0.8069369,7.934883E-06,0.03250128,7.934883E-06,0.7605103,8.069474E-06,0.033052564,8.069474E-06,0.73757225,8.201269E-06,0.0335924,8.201269E-06,0.71508497,8.335192E-06,0.03414095,8.335192E-06,0.67193055,8.508212E-06,0.034849636,8.508212E-06,0.6508228,8.509511E-06,0.034854956,8.509511E-06,0.6291534,8.4384865E-06,0.03456404,8.4384865E-06,0.58009785,8.065578E-06,0.03303661,8.065578E-06,0.53767043,7.4115583E-06,0.030357743,7.4115583E-06,0.55668473,7.0126416E-06,0.02872378,7.0126416E-06,0.56582,6.608973E-06,0.027070353,6.608973E-06,0.5499261,5.8806936E-06,0.024087321,5.8806936E-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.53199565,5.318653E-06,0.021785203,5.318653E-06,0.6217469,6.537449E-06,0.02677739,6.537449E-06,0.71429205,7.1114887E-06,0.029128658,7.1114887E-06,0.81259733,6.8458917E-06,0.028040772,6.8458917E-06,0.88407904,5.9130384E-06,0.024219805,5.9130384E-06,0.95868945,5.7837924E-06,0.023690414,5.7837924E-06,1.0436487,7.5146354E-06,0.030779947,7.5146354E-06,1.1200104,9.727309E-06,0.039843056,9.727309E-06,1.141457,1.083797E-05,0.044392325,1.083797E-05,1.1837419,1.1721072E-05,0.04800951,1.1721072E-05,1.2316136,1.2872741E-05,0.052726746,1.2872741E-05,1.2732668,1.29867485E-05,0.053193722,1.29867485E-05,1.2706059,1.28858E-05,0.052780237,1.28858E-05,1.2642969,1.2219667E-05,0.050051756,1.2219667E-05,1.2582552,1.09332805E-05,0.044782717,1.09332805E-05,1.184729,9.413594E-06,0.03855808,9.413594E-06,1.1612648,9.112095E-06,0.03732314,9.112095E-06,1.0568902,8.2595625E-06,0.033831168,8.2595625E-06,1.0286655,8.130225E-06,0.033301402,8.130225E-06,1.007244,7.8773655E-06,0.03226569,7.8773655E-06,0.97262806,8.042497E-06,0.032942068,8.042497E-06,0.9486423,8.188549E-06,0.033540297,8.188549E-06,0.9206774,8.3342975E-06,0.034137283,8.3342975E-06,0.8544872,8.522334E-06,0.03490748,8.522334E-06,0.8170913,8.526996E-06,0.034926575,8.526996E-06,0.7773917,8.456925E-06,0.034639563,8.456925E-06,0.7095732,8.07995E-06,0.033095475,8.07995E-06,0.6417342,7.4174427E-06,0.030381845,7.4174427E-06,0.5984936,7.0185915E-06,0.02874815,7.0185915E-06,0.5494743,6.6486805E-06,0.027232995,6.6486805E-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.59558475,4.472328E-06,0.018318655,4.472328E-06,0.7004756,5.5866058E-06,0.022882737,5.5866058E-06,0.7945761,6.052944E-06,0.02479286,6.052944E-06,0.8655534,5.606478E-06,0.022964135,5.606478E-06,0.91663384,4.526724E-06,0.01854146,4.526724E-06,0.96419746,3.8661874E-06,0.015835904,3.8661874E-06,1.0374473,5.829075E-06,0.02387589,5.829075E-06,1.1041662,8.4881385E-06,0.034767415,8.4881385E-06,1.1242038,9.795961E-06,0.040124256,9.795961E-06,1.1428621,1.0832546E-05,0.044370107,1.0832546E-05,1.1400931,1.2233855E-05,0.05010987,1.2233855E-05,1.1176103,1.2500181E-05,0.05120074,1.2500181E-05,1.1090696,1.2425271E-05,0.05089391,1.2425271E-05,1.1463069,1.1845273E-05,0.048518237,1.1845273E-05,1.2343522,1.0645228E-05,0.043602854,1.0645228E-05,1.2884641,9.195645E-06,0.037665363,9.195645E-06,1.2944057,8.9045225E-06,0.036472924,8.9045225E-06,1.2958969,8.067385E-06,0.03304401,8.067385E-06,1.2915342,7.93653E-06,0.032508027,7.93653E-06,1.2474864,7.657844E-06,0.03136653,7.657844E-06,1.1742587,7.790151E-06,0.03190846,7.790151E-06,1.1289126,7.924851E-06,0.03246019,7.924851E-06,1.0784074,8.064545E-06,0.033032376,8.064545E-06,0.96334773,8.2568495E-06,0.033820055,8.2568495E-06,0.947802,8.271055E-06,0.03387824,8.271055E-06,0.9915027,8.214844E-06,0.033648,8.214844E-06,1.0716602,7.878603E-06,0.03227076,7.878603E-06,1.1332283,7.2916764E-06,0.029866707,7.2916764E-06,1.1438564,6.979364E-06,0.028587475,6.979364E-06,1.1410837,6.6413522E-06,0.027202979,6.6413522E-06,1.0954765,5.8284927E-06,0.023873506,5.8284927E-06,0.9964743,4.8340617E-06,0.019800317,4.8340617E-06,0.8463829,3.7246025E-06,0.015255972,3.7246025E-06,0.7598742,2.604808E-06,0.010669294,2.604808E-06,0.6577984,1.6888052E-06,0.0069173463,1.6888052E-06,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5663578,3.3842116E-06,0.013861731,3.3842116E-06,0.6729491,4.5974393E-06,0.018831111,4.5974393E-06,0.7597351,4.919363E-06,0.020149712,4.919363E-06,0.82196426,4.041709E-06,0.01655484,4.041709E-06,0.9355375,2.4186536E-06,0.009906805,2.4186536E-06,1.0373993,3.2282119E-06,0.013222756,3.2282119E-06,1.108464,6.0886678E-06,0.024939183,6.0886678E-06,1.1868141,8.820409E-06,0.036128394,8.820409E-06,1.2189072,1.0118535E-05,0.04144552,1.0118535E-05,1.2460836,1.1141328E-05,0.04563488,1.1141328E-05,1.2648263,1.2530204E-05,0.051323716,1.2530204E-05,1.2839592,1.2814582E-05,0.05248853,1.2814582E-05,1.2978413,1.2742182E-05,0.052191976,1.2742182E-05,1.314648,1.2135921E-05,0.04970873,1.2135921E-05,1.265007,1.0844547E-05,0.044419266,1.0844547E-05,1.2757446,9.206472E-06,0.03770971,9.206472E-06,1.2784582,8.859575E-06,0.03628882,8.859575E-06,1.275168,7.801638E-06,0.03195551,7.801638E-06,1.2712224,7.61399E-06,0.031186903,7.61399E-06,1.2333734,7.0390847E-06,0.028832091,7.0390847E-06,1.1661695,6.900293E-06,0.0282636,6.900293E-06,1.1225785,6.925436E-06,0.028366586,6.925436E-06,1.0731641,6.976162E-06,0.028574359,6.976162E-06,0.9597152,7.0453775E-06,0.028857866,7.0453775E-06,0.8971229,7.018535E-06,0.02874792,7.018535E-06,0.8443384,6.929792E-06,0.028384428,6.929792E-06,0.8401407,6.536681E-06,0.026774246,6.536681E-06,0.81092775,5.8486476E-06,0.02395606,5.8486476E-06,0.7848142,5.4068837E-06,0.022146596,5.4068837E-06,0.7579105,4.9192254E-06,0.020149147,4.9192254E-06,0.724052,3.9817637E-06,0.016309304,3.9817637E-06,0.72562075,3.466346E-06,0.014198153,3.466346E-06,0.7075621,2.8368106E-06,0.011619576,2.8368106E-06,0.63529485,2.084816E-06,0.008539407,2.084816E-06,0.55887383,1.3599331E-06,0.005570286,1.3599331E-06,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.52812594,1.3885198E-06,0.005687377,1.3885198E-06,0.63884836,1.9111046E-06,0.0078278845,1.9111046E-06,0.74097466,1.8634055E-06,0.007632509,1.8634055E-06,0.8190912,1.3270806E-06,0.005435722,1.3270806E-06,0.872504,4.6365992E-07,0.001899151,4.6365992E-07,0.92459244,7.9072066E-07,0.0032387918,7.9072066E-07,0.952466,1.6390405E-06,0.00671351,1.6390405E-06,0.9872545,2.0154555E-06,0.008255306,2.0154555E-06,1.0106944,2.2947524E-06,0.009399306,2.2947524E-06,1.0552248,2.6336586E-06,0.010787466,2.6336586E-06,1.0469029,2.6298637E-06,0.010771922,2.6298637E-06,1.0365691,2.5836491E-06,0.010582627,2.5836491E-06,1.0339506,2.2764648E-06,0.0093244,2.2764648E-06,1.0598924,1.5930328E-06,0.0065250625,1.5930328E-06,1.154161,6.106989E-07,0.0025014228,6.106989E-07,1.1645638,5.7508106E-07,0.002355532,5.7508106E-07,1.1708564,1.3267606E-06,0.0054344116,1.3267606E-06,1.1653687,1.5447465E-06,0.0063272817,1.5447465E-06,1.1114582,2.735518E-06,0.011204681,2.735518E-06,1.073637,3.7887837E-06,0.015518858,3.7887837E-06,1.077133,4.2223064E-06,0.017294567,4.2223064E-06,1.0827307,4.580635E-06,0.018762281,4.580635E-06,1.0402902,5.041006E-06,0.02064796,5.041006E-06,1.0101007,5.1379247E-06,0.02104494,5.1379247E-06,0.9880217,5.150674E-06,0.02109716,5.150674E-06,0.9989175,4.9600258E-06,0.020316266,4.9600258E-06,0.9943395,4.5643446E-06,0.018695556,4.5643446E-06,0.96621156,4.333361E-06,0.017749447,4.333361E-06,0.92081255,4.134833E-06,0.016936276,4.134833E-06,0.90404683,3.7368877E-06,0.015306292,3.7368877E-06,0.87089044,3.2162347E-06,0.0131736975,3.2162347E-06,0.7981267,2.598389E-06,0.010643002,2.598389E-06,0.6846269,1.94743E-06,0.007976674,1.94743E-06,0.58976156,1.3507729E-06,0.0055327658,1.3507729E-06,0,0,0,0
Type,50,50Avg,50L1Norm,50Mean,150,150Avg,150L1Norm,150Mean,250,250Avg,250L1Norm,250Mean,350,350Avg,350L1Norm,350Mean,450,450Avg,450L1Norm,450Mean,570,570Avg,570L1Norm,570Mean,700,700Avg,700L1Norm,700Mean,840,840Avg,840L1Norm,840Mean,1000,1000Avg,1000L1Norm,1000Mean,1170,1170Avg,1170L1Norm,1170Mean,1370,1370Avg,1370L1Norm,1370Mean,1600,1600Avg,1600L1Norm,1600Mean,1850,1850Avg,1850L1Norm,1850Mean,2000,2000Avg,2000L1Norm,2000Mean,2150,2150Avg,2150L1Norm,2150Mean,2500,2500Avg,2500L1Norm,2500Mean,2900,2900Avg,2900L1Norm,2900Mean,3000,3000Avg,3000L1Norm,3000Mean,3400,3400Avg,3400L1Norm,3400Mean,4000,4000Avg,4000L1Norm,4000Mean,4800,4800Avg,4800L1Norm,4800Mean,5000,5000Avg,5000L1Norm,5000Mean,5800,5800Avg,5800L1Norm,5800Mean,6000,6000Avg,6000L1Norm,6000Mean,7000,7000Avg,7000L1Norm,7000Mean,8000,8000Avg,8000L1Norm,8000Mean,8500,8500Avg,8500L1Norm,8500Mean,9000,9000Avg,9000L1Norm,9000Mean,10000,10000Avg,10000L1Norm,10000Mean,10500,10500Avg,10500L1Norm,10500Mean,11000,11000Avg,11000L1Norm,11000Mean,12000,12000Avg,12000L1Norm,12000Mean,13000,13000Avg,13000L1Norm,13000Mean,13500,13500Avg,13500L1Norm,13500Mean,14000,14000Avg,14000L1Norm,14000Mean,15000,15000Avg,15000L1Norm,15000Mean,16000,16000Avg,16000L1Norm,16000Mean,17000,17000Avg,17000L1Norm,17000Mean,18000,18000Avg,18000L1Norm,18000Mean,19000,19000Avg,19000L1Norm,19000Mean,20000,20000Avg,20000L1Norm,20000Mean
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5404975,5.9818426E-06,0.024501627,5.9818426E-06,0.614215,7.2414355E-06,0.02966092,7.2414355E-06,0.72171736,8.8496245E-06,0.03624806,8.8496245E-06,0.8123761,1.0439935E-05,0.042761974,1.0439935E-05,0.8821041,1.20121595E-05,0.049201805,1.20121595E-05,0.94357497,1.3638228E-05,0.05586218,1.3638228E-05,0.9814999,1.4998522E-05,0.061433945,1.4998522E-05,1.0149091,1.567243E-05,0.06419428,1.567243E-05,1.0368838,1.5697342E-05,0.06429631,1.5697342E-05,1.0673839,1.5501413E-05,0.06349379,1.5501413E-05,1.1611763,1.4521747E-05,0.059481077,1.4521747E-05,1.1933727,1.3088922E-05,0.053612225,1.3088922E-05,1.2176708,1.2732282E-05,0.052151427,1.2732282E-05,1.2670321,1.14008335E-05,0.046697814,1.14008335E-05,1.2425942,9.754574E-06,0.039954737,9.754574E-06,1.2330947,8.13956E-06,0.03333964,8.13956E-06,1.2358956,7.8147705E-06,0.0320093,7.8147705E-06,1.2115945,6.7082337E-06,0.027476925,6.7082337E-06,1.198343,6.461513E-06,0.026466357,6.461513E-06,1.1027036,5.3069E-06,0.021737063,5.3069E-06,1.0097533,4.2684514E-06,0.017483577,4.2684514E-06,0.985947,3.8133371E-06,0.015619429,3.8133371E-06,0.95647764,3.4237455E-06,0.014023662,3.4237455E-06,0.88460714,2.8810252E-06,0.011800679,2.8810252E-06,0.90936726,2.7001122E-06,0.0110596595,2.7001122E-06,0.9656417,2.5597724E-06,0.010484828,2.5597724E-06,1.0298854,2.3617336E-06,0.009673661,2.3617336E-06,1.0322677,2.195663E-06,0.008993436,2.195663E-06,1.0123591,2.108126E-06,0.008634884,2.108126E-06,0.9798465,1.9588188E-06,0.008023322,1.9588188E-06,0.8814115,1.7444617E-06,0.007145315,1.7444617E-06,0.745313,1.5002996E-06,0.0061452272,1.5002996E-06,0.60934806,1.277319E-06,0.0052318987,1.277319E-06,0.517032,9.0237614E-07,0.0036961327,9.0237614E-07,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5580386,1.0409809E-05,0.042638578,1.0409809E-05,0.6208706,1.1935583E-05,0.048888147,1.1935583E-05,0.6953994,1.3492305E-05,0.05526448,1.3492305E-05,0.7556906,1.4778066E-05,0.060530957,1.4778066E-05,0.79258674,1.5395417E-05,0.06305963,1.5395417E-05,0.8020988,1.5398027E-05,0.06307032,1.5398027E-05,0.80347323,1.5185336E-05,0.062199138,1.5185336E-05,0.78145134,1.4174251E-05,0.058057733,1.4174251E-05,0.7330283,1.2704693E-05,0.052038424,1.2704693E-05,0.746438,1.23392065E-05,0.05054139,1.23392065E-05,0.78861743,1.0972136E-05,0.04494187,1.0972136E-05,0.9378106,9.287121E-06,0.03804005,9.287121E-06,1.0895185,7.6769E-06,0.031444583,7.6769E-06,1.118468,7.3627366E-06,0.03015777,7.3627366E-06,1.2007284,6.3180287E-06,0.025878645,6.3180287E-06,1.2133992,6.0879197E-06,0.02493612,6.0879197E-06,1.234716,4.987929E-06,0.020430557,4.987929E-06,1.1960667,3.9876054E-06,0.016333232,3.9876054E-06,1.1584967,3.5390974E-06,0.014496143,3.5390974E-06,1.110928,3.131472E-06,0.01282651,3.131472E-06,1.0323328,2.468381E-06,0.010110488,2.468381E-06,1.0206972,2.215922E-06,0.0090764165,2.215922E-06,0.99857664,2.0098466E-06,0.008232332,2.0098466E-06,1.1179788,1.6970666E-06,0.006951185,1.6970666E-06,1.1816953,1.4633415E-06,0.005993847,1.4633415E-06,1.1995779,1.3676573E-06,0.0056019244,1.3676573E-06,1.1975354,1.2797058E-06,0.005241675,1.2797058E-06,1.1272237,1.1301325E-06,0.004629023,1.1301325E-06,1.0278702,9.685696E-07,0.003967261,9.685696E-07,0.961805,8.0966873E-07,0.0033164031,8.0966873E-07,0.8150759,4.1331796E-07,0.0016929504,4.1331796E-07,0.6518457,3.1358692E-07,0.001284452,3.1358692E-07,0,0,0,0
