Type,10,10Mean,10Avg,10L1,20,20Mean,20Avg,20L1,250,250Mean,250Avg,250L1,350,350Mean,350Avg,350L1,450,450Mean,450Avg,450L1,570,570Mean,570Avg,570L1,700,700Mean,700Avg,700L1,840,840Mean,840Avg,840L1,1000,1000Mean,1000Avg,1000L1,1170,1170Mean,1170Avg,1170L1,1370,1370Mean,1370Avg,1370L1,1600,1600Mean,1600Avg,1600L1,1850,1850Mean,1850Avg,1850L1,2000,2000Mean,2000Avg,2000L1,2150,2150Mean,2150Avg,2150L1,2500,2500Mean,2500Avg,2500L1,2900,2900Mean,2900Avg,2900L1,3000,3000Mean,3000Avg,3000L1,3400,3400Mean,3400Avg,3400L1,4000,4000Mean,4000Avg,4000L1,4800,4800Mean,4800Avg,4800L1,5000,5000Mean,5000Avg,5000L1,5800,5800Mean,5800Avg,5800L1,6000,6000Mean,6000Avg,6000L1,7000,7000Mean,7000Avg,7000L1,8000,8000Mean,8000Avg,8000L1,8500,8500Mean,8500Avg,8500L1,9000,9000Mean,9000Avg,9000L1,10000,10000Mean,10000Avg,10000L1,10500,10500Mean,10500Avg,10500L1,11000,11000Mean,11000Avg,11000L1,12000,12000Mean,12000Avg,12000L1,13000,13000Mean,13000Avg,13000L1,13500,13500Mean,13500Avg,13500L1,14000,14000Mean,14000Avg,14000L1,15000,15000Mean,15000Avg,15000L1,16000,16000Mean,16000Avg,16000L1,17000,17000Mean,17000Avg,17000L1,18000,18000Mean,18000Avg,18000L1,19000,19000Mean,19000Avg,19000L1,20000,20000Mean,20000Avg,20000L1
1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.50688004,0.0008212538,0.0008212538,3.3638556,0.5007048,0.00080684276,0.00080684276,3.304828,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5059072,0.0004981604,0.0004981604,2.040465,0.59337455,0.000788833,0.000788833,3.23106,0.6384951,0.0009839137,0.0009839137,4.0301104,0.6813421,0.001070883,0.001070883,4.386337,0.7142601,0.0010362385,0.0010362385,4.244433,0.72677016,0.0009975904,0.0009975904,4.08613,0.73804575,0.00081832206,0.00081832206,3.3518472,0.763844,0.000773881,0.000773881,3.1698165,0.75612915,0.00079979934,0.00079979934,3.275978,0.73141396,0.0007515282,0.0007515282,3.0782595,0.75788075,0.0006975005,0.0006975005,2.856962,0.7480947,0.00061167544,0.00061167544,2.5054226,0.7362131,0.0005764687,0.0005764687,2.3612158,0.74768305,0.0005545478,0.0005545478,2.2714279,0.71431005,0.00048109982,0.00048109982,1.9705849,0.7536436,0.0004124861,0.0004124861,1.689543,0.71831113,0.00033431358,0.00033431358,1.3693484,0.70543385,0.00030857252,0.00030857252,1.263913,0.6464936,0.00029315354,0.00029315354,1.2007569,0.6486887,0.00029072416,0.00029072416,1.1908062,0.62701595,0.00024268433,0.00024268433,0.994035,0.5966311,0.00019778265,0.00019778265,0.8101177,0.5763011,0.00013878415,0.00013878415,0.56845987,0.563368,0.00013226244,0.00013226244,0.541747,0.5254192,0.000116719,0.000116719,0.47808102,0.5038954,0.00010431878,0.00010431878,0.42728972,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0.61861926,0.000903484,0.000903484,3.7006705,0.5857255,0.0007572432,0.0007572432,3.1016681,0.54196984,0.00063243567,0.00063243567,2.5904565,0.5075764,0.0005634413,0.0005634413,2.3078556,0.53905827,0.0005174882,0.0005174882,2.1196318,0.55673206,0.0005146264,0.0005146264,2.1079097,0.5573812,0.0004889077,0.0004889077,2.0025659,0.5458265,0.0005119468,0.0005119468,2.096934,0.52404857,0.0005310203,0.0005310203,2.175059,0.5027695,0.00047236122,0.00047236122,1.9347916,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0.69453263,0.00029881718,0.00029881718,1.2239552,0.61193496,0.00030282696,0.00030282696,1.2403792,0.5762789,0.00016721459,0.00016721459,0.68491095,0.5530578,0.0002683122,0.0002683122,1.0990068,0.5754626,0.00026646772,0.00026646772,1.0914518,0.5985158,0.00026670564,0.00026670564,1.0924263,0.6102928,0.00026272237,0.00026272237,1.0761108,0.597965,0.00024729632,0.00024729632,1.0129257,0.56118757,0.00023365169,0.00023365169,0.9570373,0.50558245,0.00019494853,0.00019494853,0.7985092,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5272518,0.0009060884,0.0009060884,3.711338,0.61456215,0.0011618856,0.0011618856,4.7590833,0.6687742,0.0012973073,0.0012973073,5.313771,0.70131683,0.001283816,0.001283816,5.25851,0.7096,0.0012227471,0.0012227471,5.0083723,0.69581556,0.0010538443,0.0010538443,4.3165464,0.67194784,0.0010010932,0.0010010932,4.1004777,0.6510504,0.0009938639,0.0009938639,4.0708666,0.63816816,0.0009329192,0.0009329192,3.821237,0.62413067,0.0008882362,0.0008882362,3.6382155,0.59554833,0.00078509276,0.00078509276,3.21574,0.5515681,0.00072974554,0.00072974554,2.9890378,0.54283553,0.00071973255,0.00071973255,2.9480245,0.50512415,0.00062808144,0.00062808144,2.5726216,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5412367,0.00024900853,0.00024900853,1.019939,0.5623273,0.0002484641,0.0002484641,1.0177089,0.5884756,0.00024643537,0.00024643537,1.0093993,0.60400885,0.00022920227,0.00022920227,0.9388125,0.6003752,0.00021767356,0.00021767356,0.8915909,0.5701741,0.00019657522,0.00019657522,0.8051721,0.51603043,0.00016161057,0.00016161057,0.6619569,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0.5711737,0.0008251406,0.0008251406,3.379776,0.51633865,0.00053914485,0.00053914485,2.2083373,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5226854,0.00034264696,0.00034264696,1.403482,0.566418,0.0005288666,0.0005288666,2.1662376,0.60073054,0.0006184058,0.0006184058,2.5329902,0.6202032,0.0006510388,0.0006510388,2.6666548,0.61467427,0.0006187234,0.0006187234,2.534291,0.6137366,0.00063547934,0.00063547934,2.6029234,0.6112476,0.0006192171,0.0006192171,2.5363133,0.593573,0.0005671064,0.0005671064,2.3228679,0.5733672,0.0005011775,0.0005011775,2.052823,0.5516255,0.00047477952,0.00047477952,1.9446969,0.5265009,0.0004405263,0.0004405263,1.8043957,0.5084324,0.00037260278,0.00037260278,1.526181,0.5610682,0.00032749955,0.00032749955,1.3414382,0.5702521,0.00032458134,0.00032458134,1.3294852,0.5941248,0.00033264927,0.00033264927,1.3625314,0.6007737,0.00025510482,0.00025510482,1.0449094,0.57590204,0.00020261765,0.00020261765,0.8299219,0.56595355,0.00019660534,0.00019660534,0.80529547,0.51825535,0.00016356044,0.00016356044,0.6699436,0.518945,0.00015944698,0.00015944698,0.6530948,0.5903881,0.00011814697,0.00011814697,0.48393,0.6240812,9.967595e-05,9.967595e-05,0.40827268,0.62527925,9.0527574e-05,9.0527574e-05,0.37080094,0.61645204,8.6614484e-05,8.6614484e-05,0.35477293,0.5730571,6.4243926e-05,6.4243926e-05,0.26314312,0.5416058,6.325867e-05,6.325867e-05,0.2591075,0.5061147,6.2263956e-05,6.2263956e-05,0.25503317,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0.7286674,0.00013514928,0.00013514928,0.55357146,0.6884636,0.0002392905,0.0002392905,0.9801339,0.6405041,0.0001564344,0.0001564344,0.6407553,0.5678995,0.00024891426,0.00024891426,1.0195528,0.56293255,0.00025396593,0.00025396593,1.0402445,0.58954483,0.00024992286,0.00024992286,1.023684,0.6108381,0.00024559375,0.00024559375,1.005952,0.6180561,0.00022443545,0.00022443545,0.9192876,0.6008372,0.00021881163,0.00021881163,0.89625245,0.5561481,0.00018227355,0.00018227355,0.74659246,0.50016975,0.00010625617,0.00010625617,0.43522528,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.50945723,0.00021289583,0.00021289583,0.8720213,0.5109565,0.0002673068,0.0002673068,1.0948887,0.5079856,0.0002034982,0.0002034982,0.83352864,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
